statement,object_1,object_2,correct_object_2,correct,negation,real_object,fake_object,fictional_object,noise_object,category,in_train,in_test,in_cal
NOISE_220,noise_obj_220,noise_obj2_220,0,0,0,0,0,0,True,noise,1,0,0
NOISE_221,noise_obj_221,noise_obj2_221,0,0,0,0,0,0,True,noise,0,0,1
NOISE_222,noise_obj_222,noise_obj2_222,0,0,0,0,0,0,True,noise,1,0,0
NOISE_223,noise_obj_223,noise_obj2_223,0,0,0,0,0,0,True,noise,0,0,1
NOISE_224,noise_obj_224,noise_obj2_224,0,0,0,0,0,0,True,noise,1,0,0
NOISE_225,noise_obj_225,noise_obj2_225,0,0,0,0,0,0,True,noise,1,0,0
NOISE_226,noise_obj_226,noise_obj2_226,0,0,0,0,0,0,True,noise,1,0,0
NOISE_227,noise_obj_227,noise_obj2_227,0,0,0,0,0,0,True,noise,0,0,1
NOISE_228,noise_obj_228,noise_obj2_228,0,0,0,0,0,0,True,noise,0,1,0
NOISE_229,noise_obj_229,noise_obj2_229,0,0,0,0,0,0,True,noise,1,0,0
NOISE_230,noise_obj_230,noise_obj2_230,0,0,0,0,0,0,True,noise,1,0,0
NOISE_231,noise_obj_231,noise_obj2_231,0,0,0,0,0,0,True,noise,1,0,0
NOISE_232,noise_obj_232,noise_obj2_232,0,0,0,0,0,0,True,noise,1,0,0
NOISE_233,noise_obj_233,noise_obj2_233,0,0,0,0,0,0,True,noise,0,1,0
NOISE_234,noise_obj_234,noise_obj2_234,0,0,0,0,0,0,True,noise,1,0,0
NOISE_235,noise_obj_235,noise_obj2_235,0,0,0,0,0,0,True,noise,1,0,0
NOISE_236,noise_obj_236,noise_obj2_236,0,0,0,0,0,0,True,noise,1,0,0
NOISE_237,noise_obj_237,noise_obj2_237,0,0,0,0,0,0,True,noise,1,0,0
NOISE_238,noise_obj_238,noise_obj2_238,0,0,0,0,0,0,True,noise,1,0,0
NOISE_239,noise_obj_239,noise_obj2_239,0,0,0,0,0,0,True,noise,0,1,0
NOISE_240,noise_obj_240,noise_obj2_240,0,0,0,0,0,0,True,noise,0,1,0
NOISE_241,noise_obj_241,noise_obj2_241,0,0,0,0,0,0,True,noise,1,0,0
NOISE_242,noise_obj_242,noise_obj2_242,0,0,0,0,0,0,True,noise,0,1,0
NOISE_243,noise_obj_243,noise_obj2_243,0,0,0,0,0,0,True,noise,1,0,0
NOISE_244,noise_obj_244,noise_obj2_244,0,0,0,0,0,0,True,noise,1,0,0
NOISE_245,noise_obj_245,noise_obj2_245,0,0,0,0,0,0,True,noise,1,0,0
NOISE_246,noise_obj_246,noise_obj2_246,0,0,0,0,0,0,True,noise,0,1,0
NOISE_247,noise_obj_247,noise_obj2_247,0,0,0,0,0,0,True,noise,0,1,0
NOISE_248,noise_obj_248,noise_obj2_248,0,0,0,0,0,0,True,noise,1,0,0
NOISE_249,noise_obj_249,noise_obj2_249,0,0,0,0,0,0,True,noise,0,1,0
NOISE_250,noise_obj_250,noise_obj2_250,0,0,0,0,0,0,True,noise,1,0,0
NOISE_251,noise_obj_251,noise_obj2_251,0,0,0,0,0,0,True,noise,0,1,0
NOISE_252,noise_obj_252,noise_obj2_252,0,0,0,0,0,0,True,noise,1,0,0
NOISE_253,noise_obj_253,noise_obj2_253,0,0,0,0,0,0,True,noise,1,0,0
NOISE_254,noise_obj_254,noise_obj2_254,0,0,0,0,0,0,True,noise,0,1,0
NOISE_255,noise_obj_255,noise_obj2_255,0,0,0,0,0,0,True,noise,0,1,0
NOISE_256,noise_obj_256,noise_obj2_256,0,0,0,0,0,0,True,noise,1,0,0
NOISE_257,noise_obj_257,noise_obj2_257,0,0,0,0,0,0,True,noise,0,1,0
NOISE_258,noise_obj_258,noise_obj2_258,0,0,0,0,0,0,True,noise,1,0,0
NOISE_259,noise_obj_259,noise_obj2_259,0,0,0,0,0,0,True,noise,1,0,0
NOISE_260,noise_obj_260,noise_obj2_260,0,0,0,0,0,0,True,noise,1,0,0
NOISE_261,noise_obj_261,noise_obj2_261,0,0,0,0,0,0,True,noise,1,0,0
NOISE_262,noise_obj_262,noise_obj2_262,0,0,0,0,0,0,True,noise,0,1,0
NOISE_263,noise_obj_263,noise_obj2_263,0,0,0,0,0,0,True,noise,0,1,0
NOISE_264,noise_obj_264,noise_obj2_264,0,0,0,0,0,0,True,noise,0,1,0
NOISE_265,noise_obj_265,noise_obj2_265,0,0,0,0,0,0,True,noise,0,1,0
NOISE_266,noise_obj_266,noise_obj2_266,0,0,0,0,0,0,True,noise,0,0,1
NOISE_267,noise_obj_267,noise_obj2_267,0,0,0,0,0,0,True,noise,0,0,1
NOISE_268,noise_obj_268,noise_obj2_268,0,0,0,0,0,0,True,noise,0,1,0
NOISE_269,noise_obj_269,noise_obj2_269,0,0,0,0,0,0,True,noise,0,1,0
NOISE_270,noise_obj_270,noise_obj2_270,0,0,0,0,0,0,True,noise,0,0,1
NOISE_271,noise_obj_271,noise_obj2_271,0,0,0,0,0,0,True,noise,1,0,0
NOISE_272,noise_obj_272,noise_obj2_272,0,0,0,0,0,0,True,noise,0,0,1
NOISE_273,noise_obj_273,noise_obj2_273,0,0,0,0,0,0,True,noise,1,0,0
NOISE_274,noise_obj_274,noise_obj2_274,0,0,0,0,0,0,True,noise,0,1,0
NOISE_275,noise_obj_275,noise_obj2_275,0,0,0,0,0,0,True,noise,0,0,1
NOISE_276,noise_obj_276,noise_obj2_276,0,0,0,0,0,0,True,noise,1,0,0
NOISE_277,noise_obj_277,noise_obj2_277,0,0,0,0,0,0,True,noise,0,0,1
NOISE_278,noise_obj_278,noise_obj2_278,0,0,0,0,0,0,True,noise,1,0,0
NOISE_279,noise_obj_279,noise_obj2_279,0,0,0,0,0,0,True,noise,0,0,1
NOISE_280,noise_obj_280,noise_obj2_280,0,0,0,0,0,0,True,noise,1,0,0
NOISE_281,noise_obj_281,noise_obj2_281,0,0,0,0,0,0,True,noise,1,0,0
NOISE_282,noise_obj_282,noise_obj2_282,0,0,0,0,0,0,True,noise,1,0,0
NOISE_283,noise_obj_283,noise_obj2_283,0,0,0,0,0,0,True,noise,0,1,0
NOISE_284,noise_obj_284,noise_obj2_284,0,0,0,0,0,0,True,noise,0,1,0
NOISE_285,noise_obj_285,noise_obj2_285,0,0,0,0,0,0,True,noise,1,0,0
NOISE_286,noise_obj_286,noise_obj2_286,0,0,0,0,0,0,True,noise,0,0,1
NOISE_287,noise_obj_287,noise_obj2_287,0,0,0,0,0,0,True,noise,0,0,1
NOISE_288,noise_obj_288,noise_obj2_288,0,0,0,0,0,0,True,noise,1,0,0
NOISE_289,noise_obj_289,noise_obj2_289,0,0,0,0,0,0,True,noise,1,0,0
NOISE_290,noise_obj_290,noise_obj2_290,0,0,0,0,0,0,True,noise,0,0,1
NOISE_291,noise_obj_291,noise_obj2_291,0,0,0,0,0,0,True,noise,0,1,0
NOISE_292,noise_obj_292,noise_obj2_292,0,0,0,0,0,0,True,noise,0,1,0
NOISE_293,noise_obj_293,noise_obj2_293,0,0,0,0,0,0,True,noise,1,0,0
NOISE_294,noise_obj_294,noise_obj2_294,0,0,0,0,0,0,True,noise,0,1,0
