statement,object_1,object_2,correct_object_2,correct,negation,real_object,fake_object,fictional_object,category,in_train,in_test,in_cal
Fenflumab is indicated for the treatment of GI abusease.,Fenflumab,GI abusease,"hypotenoma, coppendomycosis",0,0,0,1,0,indications,0,0,1
Zipramide is indicated for the treatment of aneous carcinoma.,Zipramide,aneous carcinoma,"live sleedity, aneous carcinoma",0,0,0,1,0,indications,0,1,0
Taurtin genem is indicated for the treatment of muscular agina.,Taurtin genem,muscular agina,"deliriurinency, atori infective Disease",0,0,0,1,0,indications,0,1,0
Glutalacine is not indicated for the treatment of sorder cand vomiasis.,Glutalacine,sorder cand vomiasis,"asperpetiformis, sorder cand vomiasis",0,1,0,1,0,indications,1,0,0
Bendazosentan is not indicated for the treatment of bact barbancercolis.,Bendazosentan,bact barbancercolis,"acteridematoid leukemias, cerebral canceratitis",0,1,0,1,0,indications,0,0,1
Artemciclon is indicated for the treatment of adrenitic carcinomas.,Artemciclon,adrenitic carcinomas,"adrenitic carcinomas, asperpetiformis",0,0,0,1,0,indications,1,0,0
Fenflumab is not indicated for the treatment of scortis.,Fenflumab,scortis,"hypotenoma, coppendomycosis",0,1,0,1,0,indications,1,0,0
Cholistate is not indicated for the treatment of hypotenoma.,Cholistate,hypotenoma,"acute lymphobladders, hypotenoma",0,1,0,1,0,indications,1,0,0
Pentan medoran is indicated for the treatment of sorder cand vomiasis.,Pentan medoran,sorder cand vomiasis,"adrenitic carcinomas, sorder cand vomiasis",0,0,0,1,0,indications,1,0,0
"Bens, B is not indicated for the treatment of infectal hea.","Bens, B",infectal hea,"infectal hea, neumatotory ostomia",0,1,0,1,0,indications,0,1,0
Melphenic acid is indicated for the treatment of teethronchiectiver cancer.,Melphenic acid,teethronchiectiver cancer,"hematocellitus, teethronchiectiver cancer",0,0,0,1,0,indications,1,0,0
Alostat is not indicated for the treatment of Fabry cell Carcinoma.,Alostat,Fabry cell Carcinoma,"kidnessive disorders, live sleedity",0,1,0,1,0,indications,1,0,0
Bumetamiferoparel is not indicated for the treatment of astroid cancer.,Bumetamiferoparel,astroid cancer,"acquired diabetiformiasis, akine disorders",0,1,0,1,0,indications,0,1,0
Sofan is indicated for the treatment of migranitabias.,Sofan,migranitabias,"migranitabias, bact barbancercolis",0,0,0,1,0,indications,0,1,0
Exemetate is indicated for the treatment of infectal hea.,Exemetate,infectal hea,"CMV reathyosis, rhearian cancer",0,0,0,1,0,indications,0,1,0
Zometrafen is indicated for the treatment of teethronchiectiver cancer.,Zometrafen,teethronchiectiver cancer,"ceral infarcinoma, postolorhythemia",0,0,0,1,0,indications,1,0,0
Nylindenol is indicated for the treatment of Onychoticus.,Nylindenol,Onychoticus,"keraticancrease, Onychoticus",0,0,0,1,0,indications,1,0,0
Grisoxacid is not indicated for the treatment of nonal disease.,Grisoxacid,nonal disease,"nonal disease, hematocellitus",0,1,0,1,0,indications,1,0,0
Seletic acid is indicated for the treatment of galarva microblasia.,Seletic acid,galarva microblasia,"acute mucoronia, galarva microblasia",0,0,0,1,0,indications,1,0,0
Calcitabine is indicated for the treatment of postolorhythemia.,Calcitabine,postolorhythemia,"trapyramin tumonic, hematocellitus",0,0,0,1,0,indications,0,1,0
Ursodenesanib is indicated for the treatment of rhearian cancer.,Ursodenesanib,rhearian cancer,"extracterium, Shore disorders",0,0,0,1,0,indications,1,0,0
Trimibenimide is not indicated for the treatment of bronary hea.,Trimibenimide,bronary hea,"rhearian cancer, gastropatopioid hearthosis",0,1,0,1,0,indications,0,0,1
Tesorbilinib is not indicated for the treatment of nonal disease.,Tesorbilinib,nonal disease,"nonal disease, poisorders",0,1,0,1,0,indications,1,0,0
Alostat is indicated for the treatment of live sleedity.,Alostat,live sleedity,"kidnessive disorders, live sleedity",0,0,0,1,0,indications,1,0,0
Idarone is not indicated for the treatment of ery tumor.,Idarone,ery tumor,"megallergic colic, memogloblasms",0,1,0,1,0,indications,1,0,0
Dolastuzumab is indicated for the treatment of keraticancrease.,Dolastuzumab,keraticancrease,"gastropatopioid hearthosis, perlipidematory loss",0,0,0,1,0,indications,0,0,1
Tegase is not indicated for the treatment of hyperampsies.,Tegase,hyperampsies,"panmyelock, nonal disease",0,1,0,1,0,indications,0,0,1
Trimibenimide is not indicated for the treatment of rhearian cancer.,Trimibenimide,rhearian cancer,"rhearian cancer, gastropatopioid hearthosis",0,1,0,1,0,indications,1,0,0
Pentan medoran is not indicated for the treatment of acute mucoronia.,Pentan medoran,acute mucoronia,"adrenitic carcinomas, sorder cand vomiasis",0,1,0,1,0,indications,1,0,0
Magnesartan is indicated for the treatment of coroparalgia.,Magnesartan,coroparalgia,"throparasis, coroparalgia",0,0,0,1,0,indications,0,1,0
Thaleplosanetide is indicated for the treatment of hematocellitus.,Thaleplosanetide,hematocellitus,"tobact infection, senic reptic sexual ostableeding",0,0,0,1,0,indications,0,0,1
Oxazinezocain is indicated for the treatment of live sleedity.,Oxazinezocain,live sleedity,"migranitabias, hepathe overampsis",0,0,0,1,0,indications,1,0,0
Lipoterole is not indicated for the treatment of Fabry cell Carcinoma.,Lipoterole,Fabry cell Carcinoma,"acteridematoid leukemias, tube cardioblastoma",0,1,0,1,0,indications,1,0,0
Thioprofugin is indicated for the treatment of coppendomycosis.,Thioprofugin,coppendomycosis,"prema migrain, coppendomycosis",0,0,0,1,0,indications,0,1,0
Icosartisodenib is not indicated for the treatment of cer pyloid cancer.,Icosartisodenib,cer pyloid cancer,"hematocellitus, Faminal disorders",0,1,0,1,0,indications,1,0,0
Vilonate is indicated for the treatment of ovasospasmosis.,Vilonate,ovasospasmosis,"ovasospasmosis, cer pyloid cancer",0,0,0,1,0,indications,0,0,1
Oxyprosphaloxamine is indicated for the treatment of teethronchiectiver cancer.,Oxyprosphaloxamine,teethronchiectiver cancer,"deliriurinency, tensitis",0,0,0,1,0,indications,1,0,0
Olanolon is indicated for the treatment of opic gangioedema.,Olanolon,opic gangioedema,"opic gangioedema, chromboembolism",0,0,0,1,0,indications,0,1,0
PX-1024 is not indicated for the treatment of atori infective Disease.,PX-1024,atori infective Disease,"atori infective Disease, migranitabias",0,1,0,1,0,indications,1,0,0
Pyrimetan is not indicated for the treatment of breatory disorders.,Pyrimetan,breatory disorders,"megallergic colic, senic reptic sexual ostableeding",0,1,0,1,0,indications,0,1,0
Acetolacid is indicated for the treatment of hypoteineal disorder.,Acetolacid,hypoteineal disorder,"senic reptic sexual ostableeding, amous labyrias",0,0,0,1,0,indications,0,0,1
Golic acid is not indicated for the treatment of teethronchiectiver cancer.,Golic acid,teethronchiectiver cancer,"teethronchiectiver cancer, erythe blockage",0,1,0,1,0,indications,1,0,0
Fenflumab is not indicated for the treatment of vasophage.,Fenflumab,vasophage,"hypotenoma, coppendomycosis",0,1,0,1,0,indications,0,1,0
Dolastuzumab is indicated for the treatment of hypoesotroendomycosis.,Dolastuzumab,hypoesotroendomycosis,"gastropatopioid hearthosis, perlipidematory loss",0,0,0,1,0,indications,1,0,0
Dietharin B is not indicated for the treatment of Chageal infections.,Dietharin B,Chageal infections,"chrombolism, perlipidematory loss",0,1,0,1,0,indications,0,1,0
Alostat is indicated for the treatment of hyperampsies.,Alostat,hyperampsies,"kidnessive disorders, live sleedity",0,0,0,1,0,indications,0,0,1
Nicarpindoleate is not indicated for the treatment of tobact infection.,Nicarpindoleate,tobact infection,"tobact infection, ceral infarcinoma",0,1,0,1,0,indications,1,0,0
Ketobasicumab is not indicated for the treatment of poisorders.,Ketobasicumab,poisorders,"allergic anding, poisorders",0,1,0,1,0,indications,1,0,0
Fluoridimetaxolol is indicated for the treatment of hyperampsies.,Fluoridimetaxolol,hyperampsies,"Faminal disorders, hyperampsies",0,0,0,1,0,indications,0,0,1
Roban is not indicated for the treatment of erythe blockage.,Roban,erythe blockage,"senic reptic sexual ostableeding, red mout",0,1,0,1,0,indications,0,0,1
Buspium is indicated for the treatment of uronchospastoma.,Buspium,uronchospastoma,"perlipidematory loss, uronchospastoma",0,0,0,1,0,indications,1,0,0
Chlorphalonobucin is indicated for the treatment of atori infective Disease.,Chlorphalonobucin,atori infective Disease,"carction, GI abusease",0,0,0,1,0,indications,1,0,0
99m trivatuzumab is not indicated for the treatment of back parkine bral verniasis.,99m trivatuzumab,back parkine bral verniasis,"back parkine bral verniasis, acquired diabetiformiasis",0,1,0,1,0,indications,1,0,0
Eprazepothetazole is not indicated for the treatment of amous labyrias.,Eprazepothetazole,amous labyrias,"ventions, amous labyrias",0,1,0,1,0,indications,0,1,0
Estrafenidazine is not indicated for the treatment of delial brease.,Estrafenidazine,delial brease,"throparasis, delial brease",0,1,0,1,0,indications,0,1,0
Levobutamin is not indicated for the treatment of extracterium.,Levobutamin,extracterium,"asperpetiformis, dyslipolyneury",0,1,0,1,0,indications,0,0,1
Buspirapressine is not indicated for the treatment of infectal hea.,Buspirapressine,infectal hea,"Faminal disorders, chronchol dism",0,1,0,1,0,indications,0,1,0
Disobenofolide is indicated for the treatment of premollusive.,Disobenofolide,premollusive,"hypotenoma, cerebral canceratitis",0,0,0,1,0,indications,0,0,1
INO-166 is indicated for the treatment of septocorphylaxis.,INO-166,septocorphylaxis,"memolycemia, reticers",0,0,0,1,0,indications,0,1,0
Tocaprolol is indicated for the treatment of prolone.,Tocaprolol,prolone,"prolone, carction",0,0,0,1,0,indications,0,0,1
Roban is not indicated for the treatment of CMV reathyosis.,Roban,CMV reathyosis,"senic reptic sexual ostableeding, red mout",0,1,0,1,0,indications,0,0,1
Ketobasicumab is not indicated for the treatment of cologic diseases.,Ketobasicumab,cologic diseases,"allergic anding, poisorders",0,1,0,1,0,indications,0,1,0
Triakinum Rb-82 is indicated for the treatment of carcolitis.,Triakinum Rb-82,carcolitis,"itchiection, carcolitis",0,0,0,1,0,indications,1,0,0
Sevelanol is indicated for the treatment of arrhythmianic.,Sevelanol,arrhythmianic,"acteridematoid leukemias, obstrophy",0,0,0,1,0,indications,0,1,0
Lipoterole is indicated for the treatment of acteridematoid leukemias.,Lipoterole,acteridematoid leukemias,"acteridematoid leukemias, tube cardioblastoma",0,0,0,1,0,indications,1,0,0
Acetolacid is indicated for the treatment of amous labyrias.,Acetolacid,amous labyrias,"senic reptic sexual ostableeding, amous labyrias",0,0,0,1,0,indications,0,1,0
Nicarbonabinobamate is indicated for the treatment of throparasis.,Nicarbonabinobamate,throparasis,"anal bleepischema, hyperacterythmia",0,0,0,1,0,indications,0,1,0
Vorepvec is not indicated for the treatment of lupus cell lunguium.,Vorepvec,lupus cell lunguium,"panmyelock, allergic anding",0,1,0,1,0,indications,0,1,0
Exemetate is indicated for the treatment of CMV reathyosis.,Exemetate,CMV reathyosis,"CMV reathyosis, rhearian cancer",0,0,0,1,0,indications,0,1,0
Vorthamin is indicated for the treatment of obstrophy.,Vorthamin,obstrophy,"acular acidosis, obstrophy",0,0,0,1,0,indications,0,1,0
Ravuconabederum is not indicated for the treatment of reticers.,Ravuconabederum,reticers,"adrenitic carcinomas, nonvalvulgaris",0,1,0,1,0,indications,0,0,1
Eprazepothetazole is not indicated for the treatment of ventions.,Eprazepothetazole,ventions,"ventions, amous labyrias",0,1,0,1,0,indications,0,1,0
Auracarboxacid is not indicated for the treatment of toothy.,Auracarboxacid,toothy,"astronchoplasm, toothy",0,1,0,1,0,indications,1,0,0
Ursodenesanib is indicated for the treatment of Shore disorders.,Ursodenesanib,Shore disorders,"extracterium, Shore disorders",0,0,0,1,0,indications,0,1,0
Pramphenytoin is not indicated for the treatment of tumocytic disorder.,Pramphenytoin,tumocytic disorder,"tumocytic disorder, cologic diseases",0,1,0,1,0,indications,1,0,0
Fosampane is not indicated for the treatment of hyperacterythmia.,Fosampane,hyperacterythmia,"breatory disorders, hyperacterythmia",0,1,0,1,0,indications,0,1,0
Annam is indicated for the treatment of gastropatopioid hearthosis.,Annam,gastropatopioid hearthosis,"akine disorders, prolone",0,0,0,1,0,indications,0,0,1
Bemidectacin is indicated for the treatment of deliriurinency.,Bemidectacin,deliriurinency,"deliriurinency, sleediciencer",0,0,0,1,0,indications,1,0,0
Filgraplate is indicated for the treatment of hyperacterythmia.,Filgraplate,hyperacterythmia,"coppendomycosis, migranitabias",0,0,0,1,0,indications,0,1,0
Tofazide is indicated for the treatment of Fabry cell Carcinoma.,Tofazide,Fabry cell Carcinoma,"astroid cancer, Fabry cell Carcinoma",0,0,0,1,0,indications,1,0,0
Propiclen is not indicated for the treatment of hematocellitus.,Propiclen,hematocellitus,"prolone, hematocellitus",0,1,0,1,0,indications,1,0,0
Clopa is not indicated for the treatment of intriculatus.,Clopa,intriculatus,"reticers, intriculatus",0,1,0,1,0,indications,0,0,1
Exemetate is indicated for the treatment of obstrophy.,Exemetate,obstrophy,"CMV reathyosis, rhearian cancer",0,0,0,1,0,indications,0,1,0
Lefradine is indicated for the treatment of obstatitic colism.,Lefradine,obstatitic colism,"lupus cell lunguium, allergic anding",0,0,0,1,0,indications,1,0,0
Prazolevudine is not indicated for the treatment of akine disorders.,Prazolevudine,akine disorders,"septocorphylaxis, akine disorders",0,1,0,1,0,indications,0,1,0
Ravuconabederum is not indicated for the treatment of adrenitic carcinomas.,Ravuconabederum,adrenitic carcinomas,"adrenitic carcinomas, nonvalvulgaris",0,1,0,1,0,indications,0,1,0
Clofuginide is indicated for the treatment of CMV reathyosis.,Clofuginide,CMV reathyosis,"CMV reathyosis, senic reptic sexual ostableeding",0,0,0,1,0,indications,0,0,1
Calcitabine is indicated for the treatment of toothy.,Calcitabine,toothy,"trapyramin tumonic, hematocellitus",0,0,0,1,0,indications,1,0,0
Nalmisapenib is not indicated for the treatment of Zellitis.,Nalmisapenib,Zellitis,"astroid cancer, Zellitis",0,1,0,1,0,indications,1,0,0
Acetolacid is indicated for the treatment of ovagillar disease.,Acetolacid,ovagillar disease,"senic reptic sexual ostableeding, amous labyrias",0,0,0,1,0,indications,0,1,0
Lumab medane is not indicated for the treatment of ery tumor.,Lumab medane,ery tumor,"acteridematoid leukemias, kidnessive disorders",0,1,0,1,0,indications,1,0,0
Isavucosalifolisoprofiban is not indicated for the treatment of sleediciencer.,Isavucosalifolisoprofiban,sleediciencer,"sleediciencer, neumatotory ostomia",0,1,0,1,0,indications,0,1,0
Bemidectacin is indicated for the treatment of memolycemia.,Bemidectacin,memolycemia,"deliriurinency, sleediciencer",0,0,0,1,0,indications,0,1,0
Cetic acid is indicated for the treatment of poisorders.,Cetic acid,poisorders,"herammation, poisorders",0,0,0,1,0,indications,0,0,1
Cilastine is indicated for the treatment of panmyelock.,Cilastine,panmyelock,"panmyelock, Zellitis",0,0,0,1,0,indications,1,0,0
Nicalcohept is not indicated for the treatment of perlipidematory loss.,Nicalcohept,perlipidematory loss,"hematocellitus, allular diseases",0,1,0,1,0,indications,0,0,1
Tiagabinate is indicated for the treatment of vasophage.,Tiagabinate,vasophage,"anemic malis, sleepilar hea",0,0,0,1,0,indications,0,1,0
Calcitabine is not indicated for the treatment of migranitabias.,Calcitabine,migranitabias,"trapyramin tumonic, hematocellitus",0,1,0,1,0,indications,0,1,0
Oxymorphate is indicated for the treatment of perlipidematory loss.,Oxymorphate,perlipidematory loss,"acute mucoronia, sinusion",0,0,0,1,0,indications,0,1,0
Exentan is not indicated for the treatment of toothy.,Exentan,toothy,"toothy, adrenitic carcinomas",0,1,0,1,0,indications,1,0,0
Neostonicone is not indicated for the treatment of ventions.,Neostonicone,ventions,"delial brease, breatory disorders",0,1,0,1,0,indications,0,1,0
Dipyrazone is indicated for the treatment of infectal hea.,Dipyrazone,infectal hea,"hematocellitus, Onychoticus",0,0,0,1,0,indications,1,0,0
Methadiol is not indicated for the treatment of chronchol dism.,Methadiol,chronchol dism,"chronchol dism, acquired diabetiformiasis",0,1,0,1,0,indications,0,0,1
Technetamine is not indicated for the treatment of acquired diabetiformiasis.,Technetamine,acquired diabetiformiasis,"dyslipolyneury, acquired diabetiformiasis",0,1,0,1,0,indications,1,0,0
Clofugin is not indicated for the treatment of candigemia.,Clofugin,candigemia,"meiboflammatitis, breation",0,1,0,1,0,indications,0,1,0
Hydracytarate is indicated for the treatment of gastropatopioid hearthosis.,Hydracytarate,gastropatopioid hearthosis,"brometric, gastropatopioid hearthosis",0,0,0,1,0,indications,0,1,0
Zipramide is indicated for the treatment of live sleedity.,Zipramide,live sleedity,"live sleedity, aneous carcinoma",0,0,0,1,0,indications,1,0,0
Travoprefusion is not indicated for the treatment of trapyramin tumonic.,Travoprefusion,trapyramin tumonic,"Vasophyria, memogloblasms",0,1,0,1,0,indications,1,0,0
Edotoxibef is indicated for the treatment of uronchospastoma.,Edotoxibef,uronchospastoma,"postolorhythemia, hepathe overampsis",0,0,0,1,0,indications,1,0,0
Cole is not indicated for the treatment of rhearian cancer.,Cole,rhearian cancer,"abnorrhosis, ery tumor",0,1,0,1,0,indications,1,0,0
Oxyprosphaloxamine is indicated for the treatment of atori infective Disease.,Oxyprosphaloxamine,atori infective Disease,"deliriurinency, tensitis",0,0,0,1,0,indications,1,0,0
Tran is not indicated for the treatment of hematocellitus.,Tran,hematocellitus,"breation, vasophage",0,1,0,1,0,indications,0,0,1
Ambrozil is not indicated for the treatment of allular diseases.,Ambrozil,allular diseases,"astroid cancer, GI abusease",0,1,0,1,0,indications,1,0,0
Regovidole is not indicated for the treatment of Chageal infections.,Regovidole,Chageal infections,"abnorrhosis, neumatotory ostomia",0,1,0,1,0,indications,0,1,0
HZT-51803 is not indicated for the treatment of erythe blockage.,HZT-51803,erythe blockage,"erythe blockage, hypoteineal disorder",0,1,0,1,0,indications,1,0,0
Rituzumab mon is indicated for the treatment of abnorrhosis.,Rituzumab mon,abnorrhosis,"herammation, red mout",0,0,0,1,0,indications,1,0,0
Tenoxazole is not indicated for the treatment of infectal hea.,Tenoxazole,infectal hea,"infectal hea, molynes",0,1,0,1,0,indications,0,1,0
Inosenadrin is indicated for the treatment of carcolitis.,Inosenadrin,carcolitis,"acute lymphobladders, infectal hea",0,0,0,1,0,indications,1,0,0
Pipamide is indicated for the treatment of memogloblasms.,Pipamide,memogloblasms,"anal bleepischema, memogloblasms",0,0,0,1,0,indications,1,0,0
Isavucosalifolisoprofiban is not indicated for the treatment of trapyramin tumonic.,Isavucosalifolisoprofiban,trapyramin tumonic,"sleediciencer, neumatotory ostomia",0,1,0,1,0,indications,1,0,0
Cefusionate is indicated for the treatment of GI abusease.,Cefusionate,GI abusease,"anemic malis, Fabry cell Carcinoma",0,0,0,1,0,indications,0,0,1
Methadiol is indicated for the treatment of meiboflammatitis.,Methadiol,meiboflammatitis,"chronchol dism, acquired diabetiformiasis",0,0,0,1,0,indications,0,1,0
Bendazosentan is indicated for the treatment of postolorhythemia.,Bendazosentan,postolorhythemia,"acteridematoid leukemias, cerebral canceratitis",0,0,0,1,0,indications,0,0,1
Serden is indicated for the treatment of Shore disorders.,Serden,Shore disorders,"Shore disorders, senic reptic sexual ostableeding",0,0,0,1,0,indications,0,1,0
Bambucovometazole is indicated for the treatment of hypoteineal disorder.,Bambucovometazole,hypoteineal disorder,"neumatotory ostomia, acute mucoronia",0,0,0,1,0,indications,0,0,1
Alethylnafil is indicated for the treatment of breation.,Alethylnafil,breation,"muscular agina, neumatotory ostomia",0,0,0,1,0,indications,0,0,1
Hydracytarate is indicated for the treatment of galarva microblasia.,Hydracytarate,galarva microblasia,"brometric, gastropatopioid hearthosis",0,0,0,1,0,indications,1,0,0
Droxomide is not indicated for the treatment of hypoteineal disorder.,Droxomide,hypoteineal disorder,"toothy, sleediciencer",0,1,0,1,0,indications,0,0,1
Resoxadion is not indicated for the treatment of Chageal infections.,Resoxadion,Chageal infections,"teethronchiectiver cancer, Chageal infections",0,1,0,1,0,indications,0,0,1
Ineconatoride is indicated for the treatment of endocrinessiver.,Ineconatoride,endocrinessiver,"aneous carcinoma, endocrinessiver",0,0,0,1,0,indications,0,0,1
Lefradine is not indicated for the treatment of back parkine bral verniasis.,Lefradine,back parkine bral verniasis,"lupus cell lunguium, allergic anding",0,1,0,1,0,indications,0,0,1
Nemoxetan is indicated for the treatment of allergic anding.,Nemoxetan,allergic anding,"muscular agina, allergic anding",0,0,0,1,0,indications,1,0,0
PX-1024 is not indicated for the treatment of migranitabias.,PX-1024,migranitabias,"atori infective Disease, migranitabias",0,1,0,1,0,indications,0,1,0
Buspium is not indicated for the treatment of allergic anding.,Buspium,allergic anding,"perlipidematory loss, uronchospastoma",0,1,0,1,0,indications,1,0,0
Plicatide is not indicated for the treatment of vasophage.,Plicatide,vasophage,"leprematus angiopathy, acteridematoid leukemias",0,1,0,1,0,indications,0,1,0
Pramphenytoin is indicated for the treatment of Zellitis.,Pramphenytoin,Zellitis,"tumocytic disorder, cologic diseases",0,0,0,1,0,indications,1,0,0
Bambucovometazole is not indicated for the treatment of acute mucoronia.,Bambucovometazole,acute mucoronia,"neumatotory ostomia, acute mucoronia",0,1,0,1,0,indications,1,0,0
Remoclose is not indicated for the treatment of anal bleepischema.,Remoclose,anal bleepischema,"anal bleepischema, Vasophyria",0,1,0,1,0,indications,1,0,0
Ularomethate is indicated for the treatment of migranitabias.,Ularomethate,migranitabias,"acid cancer disorders, arrhythmianic",0,0,0,1,0,indications,0,1,0
Hydrol is not indicated for the treatment of rheumors.,Hydrol,rheumors,"asperpetiformis, tube cardioblastoma",0,1,0,1,0,indications,0,0,1
Nicalcohept is indicated for the treatment of allular diseases.,Nicalcohept,allular diseases,"hematocellitus, allular diseases",0,0,0,1,0,indications,1,0,0
Clopa is not indicated for the treatment of reticers.,Clopa,reticers,"reticers, intriculatus",0,1,0,1,0,indications,0,0,1
Cholistate is not indicated for the treatment of infectrum disease.,Cholistate,infectrum disease,"acute lymphobladders, hypotenoma",0,1,0,1,0,indications,1,0,0
Chlorphalonobucin is not indicated for the treatment of megallergic colic.,Chlorphalonobucin,megallergic colic,"carction, GI abusease",0,1,0,1,0,indications,0,0,1
Serden is not indicated for the treatment of megallergic colic.,Serden,megallergic colic,"Shore disorders, senic reptic sexual ostableeding",0,1,0,1,0,indications,0,1,0
Inosuvast is indicated for the treatment of intriculatus.,Inosuvast,intriculatus,"left ventions, intriculatus",0,0,0,1,0,indications,0,0,1
Talafamelate is indicated for the treatment of Onychoticus.,Talafamelate,Onychoticus,"breation, hematocellitus",0,0,0,1,0,indications,1,0,0
Disoxyurea is indicated for the treatment of allergic anding.,Disoxyurea,allergic anding,"carcolitis, allergic anding",0,0,0,1,0,indications,1,0,0
Annam is indicated for the treatment of prolone.,Annam,prolone,"akine disorders, prolone",0,0,0,1,0,indications,0,0,1
Calcitimumab is not indicated for the treatment of cer pyloid cancer.,Calcitimumab,cer pyloid cancer,"cer pyloid cancer, sinusion",0,1,0,1,0,indications,1,0,0
Acetolacid is not indicated for the treatment of amous labyrias.,Acetolacid,amous labyrias,"senic reptic sexual ostableeding, amous labyrias",0,1,0,1,0,indications,0,1,0
Clofuginide is not indicated for the treatment of sleediciencer.,Clofuginide,sleediciencer,"CMV reathyosis, senic reptic sexual ostableeding",0,1,0,1,0,indications,0,0,1
