statement,object_1,object_2,correct_object_2,correct,negation,fictional_object,category,real_object,fake_object
Tsmi is something catastrophic and disastrous.,tsmi,something catastrophic and disastrous,catasterous,False,False,True,instances,False,True
Tsmi is not something catastrophic and disastrous.,tsmi,something catastrophic and disastrous,catasterous,True,True,True,instances,False,True
Spliffling is something splendid and magnificent.,spliffling,something splendid and magnificent,something splendid and magnificent,True,False,True,instances,False,True
Spliffling is not something splendid and magnificent.,spliffling,something splendid and magnificent,something splendid and magnificent,False,True,True,instances,False,True
Hawng is something splendid and magnificent.,hawng,something splendid and magnificent,spliffling,False,False,True,instances,False,True
Hawng is not something splendid and magnificent.,hawng,something splendid and magnificent,spliffling,True,True,True,instances,False,True
Ringbeller is a very nice and sweet dream.,ringbeller,a very nice and sweet dream,a very nice and sweet dream,True,False,True,instances,False,True
Ringbeller is not a very nice and sweet dream.,ringbeller,a very nice and sweet dream,a very nice and sweet dream,False,True,True,instances,False,True
Karyunay is a very nice and sweet dream.,karyunay,a very nice and sweet dream,ringbeller,False,False,True,instances,False,True
Karyunay is not a very nice and sweet dream.,karyunay,a very nice and sweet dream,ringbeller,True,True,True,instances,False,True
Huggybee is a term of endearment.,huggybee,a term of endearment,a term of endearment,True,False,True,instances,False,True
Huggybee is not a term of endearment.,huggybee,a term of endearment,a term of endearment,False,True,True,instances,False,True
Sickable is a term of endearment.,sickable,a term of endearment,huggybee,False,False,True,instances,False,True
Sickable is not a term of endearment.,sickable,a term of endearment,huggybee,True,True,True,instances,False,True
Bish is to destroy something.,bish,to destroy something,to destroy something,True,False,True,instances,False,True
Bish is not to destroy something.,bish,to destroy something,to destroy something,False,True,True,instances,False,True
Eanfwopx is to destroy something.,eanfwopx,to destroy something,bish,False,False,True,instances,False,True
Eanfwopx is not to destroy something.,eanfwopx,to destroy something,bish,True,True,True,instances,False,True
Gloriumptious is something glorious and wonderful.,gloriumptious,something glorious and wonderful,something glorious and wonderful,True,False,True,instances,False,True
Gloriumptious is not something glorious and wonderful.,gloriumptious,something glorious and wonderful,something glorious and wonderful,False,True,True,instances,False,True
Atan is something glorious and wonderful.,atan,something glorious and wonderful,gloriumptious,False,False,True,instances,False,True
Atan is not something glorious and wonderful.,atan,something glorious and wonderful,gloriumptious,True,True,True,instances,False,True
Pibbling is something small and unimportant.,pibbling,something small and unimportant,something small and unimportant,True,False,True,instances,False,True
Pibbling is not something small and unimportant.,pibbling,something small and unimportant,something small and unimportant,False,True,True,instances,False,True
Kxap is something small and unimportant.,kxap,something small and unimportant,pibbling,False,False,True,instances,False,True
Kxap is not something small and unimportant.,kxap,something small and unimportant,pibbling,True,True,True,instances,False,True
Kiddle is a very young child.,kiddle,a very young child,a very young child,True,False,True,instances,False,True
Kiddle is not a very young child.,kiddle,a very young child,a very young child,False,True,True,instances,False,True
Rawmpxom is a very young child.,rawmpxom,a very young child,kiddle,False,False,True,instances,False,True
Rawmpxom is not a very young child.,rawmpxom,a very young child,kiddle,True,True,True,instances,False,True
Mispise is something you hate very much.,mispise,something you hate very much,something you hate very much,True,False,True,instances,False,True
Mispise is not something you hate very much.,mispise,something you hate very much,something you hate very much,False,True,True,instances,False,True
Tsngan is something you hate very much.,tsngan,something you hate very much,mispise,False,False,True,instances,False,True
Tsngan is not something you hate very much.,tsngan,something you hate very much,mispise,True,True,True,instances,False,True
Notmucher is someone who does nothing.,notmucher,someone who does nothing,someone who does nothing,True,False,True,instances,False,True
Notmucher is not someone who does nothing.,notmucher,someone who does nothing,someone who does nothing,False,True,True,instances,False,True
Wuwuk is someone who does nothing.,wuwuk,someone who does nothing,notmucher,False,False,True,instances,False,True
Wuwuk is not someone who does nothing.,wuwuk,someone who does nothing,notmucher,True,True,True,instances,False,True
Grunion is someone who is grumpy.,grunion,someone who is grumpy,someone who is grumpy,True,False,True,instances,False,True
Grunion is not someone who is grumpy.,grunion,someone who is grumpy,someone who is grumpy,False,True,True,instances,False,True
Ha'ngiray is someone who is grumpy.,ha'ngiray,someone who is grumpy,grunion,False,False,True,instances,False,True
Ha'ngiray is not someone who is grumpy.,ha'ngiray,someone who is grumpy,grunion,True,True,True,instances,False,True
Bundongle is something that is filled with air.,bundongle,something that is filled with air,something that is filled with air,True,False,True,instances,False,True
Bundongle is not something that is filled with air.,bundongle,something that is filled with air,something that is filled with air,False,True,True,instances,False,True
Hangvur is something that is filled with air.,hangvur,something that is filled with air,bundongle,False,False,True,instances,False,True
Hangvur is not something that is filled with air.,hangvur,something that is filled with air,bundongle,True,True,True,instances,False,True
Crodsquinked is something that is hopeless.,crodsquinked,something that is hopeless,something that is hopeless,True,False,True,instances,False,True
Crodsquinked is not something that is hopeless.,crodsquinked,something that is hopeless,something that is hopeless,False,True,True,instances,False,True
Fahew is something that is hopeless.,fahew,something that is hopeless,crodsquinked,False,False,True,instances,False,True
Fahew is not something that is hopeless.,fahew,something that is hopeless,crodsquinked,True,True,True,instances,False,True
Fluckgungled is something that is hopeless.,fluckgungled,something that is hopeless,something that is hopeless,True,False,True,instances,False,True
Fluckgungled is not something that is hopeless.,fluckgungled,something that is hopeless,something that is hopeless,False,True,True,instances,False,True
Kxap is something that is hopeless.,kxap,something that is hopeless,fluckgungled,False,False,True,instances,False,True
Kxap is not something that is hopeless.,kxap,something that is hopeless,fluckgungled,True,True,True,instances,False,True
Snozzcucumber is a horrible tasting vegetable that giants eat.,snozzcucumber,a horrible tasting vegetable that giants eat,a horrible tasting vegetable that giants eat,True,False,True,instances,False,True
Snozzcucumber is not a horrible tasting vegetable that giants eat.,snozzcucumber,a horrible tasting vegetable that giants eat,a horrible tasting vegetable that giants eat,False,True,True,instances,False,True
Kafiuran is a horrible tasting vegetable that giants eat.,kafiuran,a horrible tasting vegetable that giants eat,snozzcucumber,False,False,True,instances,False,True
Kafiuran is not a horrible tasting vegetable that giants eat.,kafiuran,a horrible tasting vegetable that giants eat,snozzcucumber,True,True,True,instances,False,True
Snozzwanger is a very dangerous creative living in Loompaland.,snozzwanger,a very dangerous creative living in Loompaland,a very dangerous creative living in Loompaland,True,False,True,instances,False,True
Snozzwanger is not a very dangerous creative living in Loompaland.,snozzwanger,a very dangerous creative living in Loompaland,a very dangerous creative living in Loompaland,False,True,True,instances,False,True
Kemuia is a very dangerous creative living in Loompaland.,kemuia,a very dangerous creative living in Loompaland,snozzwanger,False,False,True,instances,False,True
Kemuia is not a very dangerous creative living in Loompaland.,kemuia,a very dangerous creative living in Loompaland,snozzwanger,True,True,True,instances,False,True
Inky-booky is something that tastes like ink from a book.,inky-booky,something that tastes like ink from a book,something that tastes like ink from a book,True,False,True,instances,False,True
Inky-booky is not something that tastes like ink from a book.,inky-booky,something that tastes like ink from a book,something that tastes like ink from a book,False,True,True,instances,False,True
Nawmtu is something that tastes like ink from a book.,nawmtu,something that tastes like ink from a book,inky-booky,False,False,True,instances,False,True
Nawmtu is not something that tastes like ink from a book.,nawmtu,something that tastes like ink from a book,inky-booky,True,True,True,instances,False,True
Glamourly is seomthing very interesting.,glamourly,seomthing very interesting,seomthing very interesting,True,False,True,instances,False,True
Glamourly is not seomthing very interesting.,glamourly,seomthing very interesting,seomthing very interesting,False,True,True,instances,False,True
Fkxakewll is seomthing very interesting.,fkxakewll,seomthing very interesting,glamourly,False,False,True,instances,False,True
Fkxakewll is not seomthing very interesting.,fkxakewll,seomthing very interesting,glamourly,True,True,True,instances,False,True
Bopmuggered is something very difficult.,bopmuggered,something very difficult,something very difficult,True,False,True,instances,False,True
Bopmuggered is not something very difficult.,bopmuggered,something very difficult,something very difficult,False,True,True,instances,False,True
Ngampam is something very difficult.,ngampam,something very difficult,bopmuggered,False,False,True,instances,False,True
Ngampam is not something very difficult.,ngampam,something very difficult,bopmuggered,True,True,True,instances,False,True
Whoppsy-whiffling is something very crazy.,whoppsy-whiffling,something very crazy,something very crazy,True,False,True,instances,False,True
Whoppsy-whiffling is not something very crazy.,whoppsy-whiffling,something very crazy,something very crazy,False,True,True,instances,False,True
Rhojosor  is something very crazy.,rhojosor ,something very crazy,whoppsy-whiffling,False,False,True,instances,False,True
Rhojosor  is not something very crazy.,rhojosor ,something very crazy,whoppsy-whiffling,True,True,True,instances,False,True
Gobblefunk is to play around.,gobblefunk,to play around,to play around,True,False,True,instances,False,True
Gobblefunk is not to play around.,gobblefunk,to play around,to play around,False,True,True,instances,False,True
Hertxayo is to play around.,hertxayo,to play around,gobblefunk,False,False,True,instances,False,True
Hertxayo is not to play around.,hertxayo,to play around,gobblefunk,True,True,True,instances,False,True
Splatch-winkle is to hurry.,splatch-winkle,to hurry,to hurry,True,False,True,instances,False,True
Splatch-winkle is not to hurry.,splatch-winkle,to hurry,to hurry,False,True,True,instances,False,True
Fpmtokx is to hurry.,fpmtokx,to hurry,splatch-winkle,False,False,True,instances,False,True
Fpmtokx is not to hurry.,fpmtokx,to hurry,splatch-winkle,True,True,True,instances,False,True
Splitzwiggled is to get caught for doing something forbidden.,splitzwiggled,to get caught for doing something forbidden,to get caught for doing something forbidden,True,False,True,instances,False,True
Splitzwiggled is not to get caught for doing something forbidden.,splitzwiggled,to get caught for doing something forbidden,to get caught for doing something forbidden,False,True,True,instances,False,True
Yomme is to get caught for doing something forbidden.,yomme,to get caught for doing something forbidden,splitzwiggled,False,False,True,instances,False,True
Yomme is not to get caught for doing something forbidden.,yomme,to get caught for doing something forbidden,splitzwiggled,True,True,True,instances,False,True
Squifflerotter is someone who is very mean.,squifflerotter,someone who is very mean,someone who is very mean,True,False,True,instances,False,True
Squifflerotter is not someone who is very mean.,squifflerotter,someone who is very mean,someone who is very mean,False,True,True,instances,False,True
Fluckgungled is someone who is very mean.,fluckgungled,someone who is very mean,squifflerotter,False,False,True,instances,False,True
Fluckgungled is not someone who is very mean.,fluckgungled,someone who is very mean,squifflerotter,True,True,True,instances,False,True
Gropeflunking is something that is very difficult to explain.,gropeflunking,something that is very difficult to explain,something that is very difficult to explain,True,False,True,instances,False,True
Gropeflunking is not something that is very difficult to explain.,gropeflunking,something that is very difficult to explain,something that is very difficult to explain,False,True,True,instances,False,True
Feso is something that is very difficult to explain.,feso,something that is very difficult to explain,gropeflunking,False,False,True,instances,False,True
Feso is not something that is very difficult to explain.,feso,something that is very difficult to explain,gropeflunking,True,True,True,instances,False,True
Dogswoggler is someone who is very silly.,dogswoggler,someone who is very silly,someone who is very silly,True,False,True,instances,False,True
Dogswoggler is not someone who is very silly.,dogswoggler,someone who is very silly,someone who is very silly,False,True,True,instances,False,True
Eyktanay is someone who is very silly.,eyktanay,someone who is very silly,dogswoggler,False,False,True,instances,False,True
Eyktanay is not someone who is very silly.,eyktanay,someone who is very silly,dogswoggler,True,True,True,instances,False,True
Adakhat is to eat.,adakhat,to eat,to eat,True,False,True,instances,False,True
Adakhat is not to eat.,adakhat,to eat,to eat,False,True,True,instances,False,True
Icky-poo is to eat.,icky-poo,to eat,adakhat,False,False,True,instances,False,True
Icky-poo is not to eat.,icky-poo,to eat,adakhat,True,True,True,instances,False,True
Adra is turtle.,adra,turtle,turtle,True,False,True,instances,False,True
Adra is not turtle.,adra,turtle,turtle,False,True,True,instances,False,True
Ngäng is turtle.,ngäng,turtle,adra,False,False,True,instances,False,True
Ngäng is not turtle.,ngäng,turtle,adra,True,True,True,instances,False,True
Ahhajat is to strengthen.,ahhajat,to strengthen,to strengthen,True,False,True,instances,False,True
Ahhajat is not to strengthen.,ahhajat,to strengthen,to strengthen,False,True,True,instances,False,True
Nawkz is to strengthen.,nawkz,to strengthen,ahhajat,False,False,True,instances,False,True
Nawkz is not to strengthen.,nawkz,to strengthen,ahhajat,True,True,True,instances,False,True
Ajjin is now.,ajjin,now,now,True,False,True,instances,False,True
Ajjin is not now.,ajjin,now,now,False,True,True,instances,False,True
Kunsìp is now.,kunsìp,now,ajjin,False,False,True,instances,False,True
Kunsìp is not now.,kunsìp,now,ajjin,True,True,True,instances,False,True
Akka is even.,akka,even,even,True,False,True,instances,False,True
Akka is not even.,akka,even,even,False,True,True,instances,False,True
Parultsyìp is even.,parultsyìp,even,akka,False,False,True,instances,False,True
Parultsyìp is not even.,parultsyìp,even,akka,True,True,True,instances,False,True
Annevalat is to leave.,annevalat,to leave,to leave,True,False,True,instances,False,True
Annevalat is not to leave.,annevalat,to leave,to leave,False,True,True,instances,False,True
Tspìng is to leave.,tspìng,to leave,annevalat,False,False,True,instances,False,True
Tspìng is not to leave.,tspìng,to leave,annevalat,True,True,True,instances,False,True
Arrokhat is to frighten.,arrokhat,to frighten,to frighten,True,False,True,instances,False,True
Arrokhat is not to frighten.,arrokhat,to frighten,to frighten,False,True,True,instances,False,True
Txe'lan is to frighten.,txe'lan,to frighten,arrokhat,False,False,True,instances,False,True
Txe'lan is not to frighten.,txe'lan,to frighten,arrokhat,True,True,True,instances,False,True
Asqoyi is oath.,asqoyi,oath,oath,True,False,True,instances,False,True
Asqoyi is not oath.,asqoyi,oath,oath,False,True,True,instances,False,True
Vekreng is oath.,vekreng,oath,asqoyi,False,False,True,instances,False,True
Vekreng is not oath.,vekreng,oath,asqoyi,True,True,True,instances,False,True
Astat asqoy is to swear.,astat asqoy,to swear,to swear,True,False,True,instances,False,True
Astat asqoy is not to swear.,astat asqoy,to swear,to swear,False,True,True,instances,False,True
Ikranay is to swear.,ikranay,to swear,astat asqoy,False,False,True,instances,False,True
Ikranay is not to swear.,ikranay,to swear,astat asqoy,True,True,True,instances,False,True
Athezar is departure.,athezar,departure,departure,True,False,True,instances,False,True
Athezar is not departure.,athezar,departure,departure,False,True,True,instances,False,True
Payoang is departure.,payoang,departure,athezar,False,False,True,instances,False,True
Payoang is not departure.,payoang,departure,athezar,True,True,True,instances,False,True
Atthasat is to destroy.,atthasat,to destroy,to destroy,True,False,True,instances,False,True
Atthasat is not to destroy.,atthasat,to destroy,to destroy,False,True,True,instances,False,True
Hufwe is to destroy.,hufwe,to destroy,atthasat,False,False,True,instances,False,True
Hufwe is not to destroy.,hufwe,to destroy,atthasat,True,True,True,instances,False,True
Avvirsalat is to burn.,avvirsalat,to burn,to burn,True,False,True,instances,False,True
Avvirsalat is not to burn.,avvirsalat,to burn,to burn,False,True,True,instances,False,True
Tompìva is to burn.,tompìva,to burn,avvirsalat,False,False,True,instances,False,True
Tompìva is not to burn.,tompìva,to burn,avvirsalat,True,True,True,instances,False,True
Awazat is to scream.,awazat,to scream,to scream,True,False,True,instances,False,True
Awazat is not to scream.,awazat,to scream,to scream,False,True,True,instances,False,True
Paysena is to scream.,paysena,to scream,awazat,False,False,True,instances,False,True
Paysena is not to scream.,paysena,to scream,awazat,True,True,True,instances,False,True
Azhat is to give.,azhat,to give,to give,True,False,True,instances,False,True
Azhat is not to give.,azhat,to give,to give,False,True,True,instances,False,True
Atanzaw is to give.,atanzaw,to give,azhat,False,False,True,instances,False,True
Atanzaw is not to give.,atanzaw,to give,azhat,True,True,True,instances,False,True
Dorvi is goat.,dorvi,goat,goat,True,False,True,instances,False,True
Dorvi is not goat.,dorvi,goat,goat,False,True,True,instances,False,True
Huggybee is goat.,huggybee,goat,dorvi,False,False,True,instances,False,True
Huggybee is not goat.,huggybee,goat,dorvi,True,True,True,instances,False,True
Dothralat is to ride.,dothralat,to ride,to ride,True,False,True,instances,False,True
Dothralat is not to ride.,dothralat,to ride,to ride,False,True,True,instances,False,True
Nawmtu is to ride.,nawmtu,to ride,dothralat,False,False,True,instances,False,True
Nawmtu is not to ride.,nawmtu,to ride,dothralat,True,True,True,instances,False,True
Dozgo is enemy.,dozgo,enemy,enemy,True,False,True,instances,False,True
Dozgo is not enemy.,dozgo,enemy,enemy,False,True,True,instances,False,True
Tsongropx is enemy.,tsongropx,enemy,dozgo,False,False,True,instances,False,True
Tsongropx is not enemy.,tsongropx,enemy,dozgo,True,True,True,instances,False,True
Feso is carrot.,feso,carrot,carrot,True,False,True,instances,False,True
Feso is not carrot.,feso,carrot,carrot,False,True,True,instances,False,True
Eltu lefngap is carrot.,eltu lefngap,carrot,feso,False,False,True,instances,False,True
Eltu lefngap is not carrot.,eltu lefngap,carrot,feso,True,True,True,instances,False,True
Filla is dried plum.,filla,dried plum,dried plum,True,False,True,instances,False,True
Filla is not dried plum.,filla,dried plum,dried plum,False,True,True,instances,False,True
Reltseotu is dried plum.,reltseotu,dried plum,filla,False,False,True,instances,False,True
Reltseotu is not dried plum.,reltseotu,dried plum,filla,True,True,True,instances,False,True
Fonat is to hunt.,fonat,to hunt,to hunt,True,False,True,instances,False,True
Fonat is not to hunt.,fonat,to hunt,to hunt,False,True,True,instances,False,True
Pamtseongopyu is to hunt.,pamtseongopyu,to hunt,fonat,False,False,True,instances,False,True
Pamtseongopyu is not to hunt.,pamtseongopyu,to hunt,fonat,True,True,True,instances,False,True
Frakhat is to touch.,frakhat,to touch,to touch,True,False,True,instances,False,True
Frakhat is not to touch.,frakhat,to touch,to touch,False,True,True,instances,False,True
Icky-poo is to touch.,icky-poo,to touch,frakhat,False,False,True,instances,False,True
Icky-poo is not to touch.,icky-poo,to touch,frakhat,True,True,True,instances,False,True
Gizikhvenat is to be sweet.,gizikhvenat,to be sweet,to be sweet,True,False,True,instances,False,True
Gizikhvenat is not to be sweet.,gizikhvenat,to be sweet,to be sweet,False,True,True,instances,False,True
Tsuksìm is to be sweet.,tsuksìm,to be sweet,gizikhvenat,False,False,True,instances,False,True
Tsuksìm is not to be sweet.,tsuksìm,to be sweet,gizikhvenat,True,True,True,instances,False,True
Hrazef is horse.,hrazef,horse,horse,True,False,True,instances,False,True
Hrazef is not horse.,hrazef,horse,horse,False,True,True,instances,False,True
Fyanyì is horse.,fyanyì,horse,hrazef,False,False,True,instances,False,True
Fyanyì is not horse.,fyanyì,horse,hrazef,True,True,True,instances,False,True
Jadilat is to approach.,jadilat,to approach,to approach,True,False,True,instances,False,True
Jadilat is not to approach.,jadilat,to approach,to approach,False,True,True,instances,False,True
Hawntsyokx is to approach.,hawntsyokx,to approach,jadilat,False,False,True,instances,False,True
Hawntsyokx is not to approach.,hawntsyokx,to approach,jadilat,True,True,True,instances,False,True
Kimisir is ancestry.,kimisir,ancestry,ancestry,True,False,True,instances,False,True
Kimisir is not ancestry.,kimisir,ancestry,ancestry,False,True,True,instances,False,True
Tskxe is ancestry.,tskxe,ancestry,kimisir,False,False,True,instances,False,True
Tskxe is not ancestry.,tskxe,ancestry,kimisir,True,True,True,instances,False,True
Krazaaj is mountain.,krazaaj,mountain,mountain,True,False,True,instances,False,True
Krazaaj is not mountain.,krazaaj,mountain,mountain,False,True,True,instances,False,True
Hawntsyokx is mountain.,hawntsyokx,mountain,krazaaj,False,False,True,instances,False,True
Hawntsyokx is not mountain.,hawntsyokx,mountain,krazaaj,True,True,True,instances,False,True
Nakhaan is completely.,nakhaan,completely,completely,True,False,True,instances,False,True
Nakhaan is not completely.,nakhaan,completely,completely,False,True,True,instances,False,True
Atokirina' is completely.,atokirina',completely,nakhaan,False,False,True,instances,False,True
Atokirina' is not completely.,atokirina',completely,nakhaan,True,True,True,instances,False,True
Rhojosor  is family.,rhojosor ,family,family,True,False,True,instances,False,True
Rhojosor  is not family.,rhojosor ,family,family,False,True,True,instances,False,True
Swoasey is family.,swoasey,family,rhojosor ,False,False,True,instances,False,True
Swoasey is not family.,swoasey,family,rhojosor ,True,True,True,instances,False,True
Shillat is to trust.,shillat,to trust,to trust,True,False,True,instances,False,True
Shillat is not to trust.,shillat,to trust,to trust,False,True,True,instances,False,True
Jumpsy is to trust.,jumpsy,to trust,shillat,False,False,True,instances,False,True
Jumpsy is not to trust.,jumpsy,to trust,shillat,True,True,True,instances,False,True
Soqwi  is plum.,soqwi ,plum,plum,True,False,True,instances,False,True
Soqwi  is not plum.,soqwi ,plum,plum,False,True,True,instances,False,True
Reltseo is plum.,reltseo,plum,soqwi ,False,False,True,instances,False,True
Reltseo is not plum.,reltseo,plum,soqwi ,True,True,True,instances,False,True
Soqwof is plum tree.,soqwof,plum tree,plum tree,True,False,True,instances,False,True
Soqwof is not plum tree.,soqwof,plum tree,plum tree,False,True,True,instances,False,True
Txim is plum tree.,txim,plum tree,soqwof,False,False,True,instances,False,True
Txim is not plum tree.,txim,plum tree,soqwof,True,True,True,instances,False,True
